skip_distance,o_foF2,time_start,time_end
1843.6,10.7,2021-06-10 09:17:00.028700,2021-06-10 09:17:00.028700
1607.2,10.7,2021-06-10 09:18:00.041815,2021-06-10 09:18:00.041815
1113.3,10.5,2021-06-10 09:19:00.017467,2021-06-10 09:19:00.017467
1800.0,10.6,2021-06-10 09:20:00.036076,2021-06-10 09:20:00.036076
1669.6,10.6,2021-06-10 09:21:00.049190,2021-06-10 09:21:00.049190
1800.0,10.7,2021-06-10 09:22:00.024842,2021-06-10 09:22:00.024842
1946.2,10.6,2021-06-10 09:23:00.040454,2021-06-10 09:23:00.040454
1538.0,10.7,2021-06-10 09:24:00.010715,2021-06-10 09:24:00.010715
1909.3,10.6,2021-06-10 09:25:00.034819,2021-06-10 09:25:00.034819
1713.6,10.7,2021-06-10 09:26:00.008972,2021-06-10 09:26:00.008972
1933.7,10.7,2021-06-10 09:27:00.026582,2021-06-10 09:27:00.026582
1867.5,10.7,2021-06-10 09:28:00.048688,2021-06-10 09:28:00.048688
1746.4,10.7,2021-06-10 09:30:00.041554,2021-06-10 09:30:00.041554
1953.6,10.7,2021-06-10 09:32:00.040810,2021-06-10 09:32:00.040810
1845.0,10.5,2021-06-10 09:33:00.008969,2021-06-10 09:33:00.008969
1980.0,10.7,2021-06-10 09:34:00.025081,2021-06-10 09:34:00.025081
0.0,10.6,2021-06-10 09:35:00.009224,2021-06-10 09:35:00.009224
0.0,10.7,2021-06-10 09:36:00.036325,2021-06-10 09:36:00.036325
2002.5,10.7,2021-06-10 09:37:00.028564,2021-06-10 09:37:00.028564
2265.0,10.7,2021-06-10 09:38:00.046175,2021-06-10 09:38:00.046175
2002.5,10.6,2021-06-10 09:40:00.033442,2021-06-10 09:40:00.033442
0.0,10.7,2021-06-10 09:41:00.006597,2021-06-10 09:41:00.006597
0.0,10.3,2021-06-10 09:44:00.008977,2021-06-10 09:44:00.008977
0.0,10.7,2021-06-10 09:45:00.033580,2021-06-10 09:45:00.033580
0.0,10.7,2021-06-10 09:46:00.006235,2021-06-10 09:46:00.006235
0.0,10.6,2021-06-10 10:03:00.030380,2021-06-10 10:03:00.030380
0.0,10.7,2021-06-10 10:05:00.034131,2021-06-10 10:05:00.034131
2085.0,10.6,2021-06-10 10:10:00.009294,2021-06-10 10:10:00.009294
2137.5,10.7,2021-06-10 10:11:00.033397,2021-06-10 10:11:00.033397
0.0,10.7,2021-06-10 10:12:00.048510,2021-06-10 10:12:00.048510
0.0,10.7,2021-06-10 10:13:00.020769,2021-06-10 10:13:00.020769
2064.8,10.7,2021-06-10 10:14:00.038879,2021-06-10 10:14:00.038879
0.0,10.7,2021-06-10 10:15:00.016529,2021-06-10 10:15:00.016529
0.0,10.7,2021-06-10 10:16:00.034139,2021-06-10 10:16:00.034139
0.0,10.7,2021-06-10 10:17:00.006793,2021-06-10 10:17:00.006793
1822.5,10.7,2021-06-10 10:18:00.026402,2021-06-10 10:18:00.026402
1800.0,10.7,2021-06-10 10:20:00.015584,2021-06-10 10:20:00.015584
1732.5,10.7,2021-06-10 10:22:00.009158,2021-06-10 10:22:00.009158
1991.2,10.7,2021-06-10 10:23:00.025873,2021-06-10 10:23:00.025873
1755.0,10.7,2021-06-10 10:24:00.040486,2021-06-10 10:24:00.040486
2092.5,10.7,2021-06-10 10:25:00.006647,2021-06-10 10:25:00.006647
1946.2,10.7,2021-06-10 10:26:00.034247,2021-06-10 10:26:00.034247
1902.9,10.7,2021-06-10 10:27:00.008900,2021-06-10 10:27:00.008900
1665.0,10.6,2021-06-10 10:28:00.033108,2021-06-10 10:28:00.033108
1516.8,10.7,2021-06-10 10:29:00.006262,2021-06-10 10:29:00.006262
1383.5,10.3,2021-06-10 10:30:00.026370,2021-06-10 10:30:00.026370
1213.6,10.4,2021-06-10 10:31:00.044479,2021-06-10 10:31:00.044479
2350.7,10.6,2021-06-10 10:32:00.016634,2021-06-10 10:32:00.016634
1946.2,10.6,2021-06-10 10:33:00.035743,2021-06-10 10:33:00.035743
1980.0,10.6,2021-06-10 10:34:00.009001,2021-06-10 10:34:00.009001
1695.0,10.3,2021-06-10 10:35:00.024114,2021-06-10 10:35:00.024114
1777.5,10.4,2021-06-10 10:36:00.041224,2021-06-10 10:36:00.041224
1755.0,10.6,2021-06-10 10:37:00.017604,2021-06-10 10:37:00.017604
1888.6,10.5,2021-06-10 10:38:00.035131,2021-06-10 10:38:00.035131
1429.0,10.7,2021-06-10 10:39:00.008493,2021-06-10 10:39:00.008493
1584.0,10.7,2021-06-10 10:40:00.026603,2021-06-10 10:40:00.026603
1683.0,10.7,2021-06-10 10:41:00.045815,2021-06-10 10:41:00.045815
1329.8,10.6,2021-06-10 10:42:00.017471,2021-06-10 10:42:00.017471
1642.5,10.3,2021-06-10 10:43:00.035185,2021-06-10 10:43:00.035185
1399.4,10.3,2021-06-10 10:44:00.045303,2021-06-10 10:44:00.045303
1417.9,10.6,2021-06-10 10:45:00.018457,2021-06-10 10:45:00.018457
1100.6,10.2,2021-06-10 10:46:00.033673,2021-06-10 10:46:00.033673
1378.4,10.6,2021-06-10 10:47:00.006828,2021-06-10 10:47:00.006828
1378.5,10.7,2021-06-10 10:48:00.033033,2021-06-10 10:48:00.033033
1351.8,10.3,2021-06-10 10:49:00.006687,2021-06-10 10:49:00.006687
1380.4,10.6,2021-06-10 10:50:00.025796,2021-06-10 10:50:00.025796
666.6,10.5,2021-06-10 10:51:00.048505,2021-06-10 10:51:00.048505
1333.1,10.3,2021-06-10 10:52:00.022658,2021-06-10 10:52:00.022658
1247.2,10.7,2021-06-10 10:53:00.046262,2021-06-10 10:53:00.046262
1483.3,10.6,2021-06-10 10:54:00.018334,2021-06-10 10:54:00.018334
1337.8,10.4,2021-06-10 10:55:00.032759,2021-06-10 10:55:00.032759
1269.2,10.3,2021-06-10 10:56:00.006517,2021-06-10 10:56:00.006517
1481.0,10.7,2021-06-10 10:57:00.025126,2021-06-10 10:57:00.025126
1417.5,10.3,2021-06-10 10:58:00.046836,2021-06-10 10:58:00.046836
